# Human/GRCh38 major-cell marker panel used by this skill.
# Schema: panel, marker_set, gene, role.
panel	marker_set	gene	role
all_markers	Epithelial	EPCAM	positive
all_markers	Epithelial	KRT8	positive
all_markers	Epithelial	KRT18	positive
all_markers	Pan_immune	PTPRC	positive
all_markers	T_cell	CD3D	positive
all_markers	T_cell	CD3E	positive
all_markers	T_cell	TRAC	positive
all_markers	NK_cell	NKG7	positive
all_markers	NK_cell	GNLY	positive
all_markers	NK_cell	KLRD1	positive
all_markers	B_cell	CD19	positive
all_markers	B_cell	MS4A1	positive
all_markers	B_cell	CD79A	positive
all_markers	Plasma	MZB1	positive
all_markers	Plasma	JCHAIN	positive
all_markers	Plasma	SDC1	positive
all_markers	Pan_myeloid	LYZ	positive
all_markers	Pan_myeloid	LST1	positive
all_markers	Pan_myeloid	TYROBP	positive
all_markers	Monocyte	FCN1	positive
all_markers	Monocyte	VCAN	positive
all_markers	Monocyte	CD14	positive
all_markers	macro	CD68	positive
all_markers	macro	FCGR1A	positive
all_markers	macro	CSF1R	positive
all_markers	Mast	KIT	positive
all_markers	Mast	TPSAB1	positive
all_markers	Mast	CPA3	positive
all_markers	Neutrophil	CSF3R	positive
all_markers	Neutrophil	FCGR3B	positive
all_markers	Neutrophil	CXCR2	positive
all_markers	pDC	IL3RA	positive
all_markers	pDC	LILRA4	positive
all_markers	pDC	GZMB	positive
all_markers	Fibroblast	COL1A1	positive
all_markers	Fibroblast	DCN	positive
all_markers	Fibroblast	LUM	positive
all_markers	Endothelial	PECAM1	positive
all_markers	Endothelial	VWF	positive
all_markers	Endothelial	PLVAP	positive
all_markers	Pericyte	RGS5	positive
all_markers	Pericyte	PDGFRB	positive
all_markers	Pericyte	CSPG4	positive
all_markers	Smooth_muscle	ACTA2	positive
all_markers	Smooth_muscle	ACTG2	positive
all_markers	Smooth_muscle	MYH11	positive
all_markers	Smooth_muscle	CNN1	positive
all_markers	Proliferation	MKI67	state
all_markers	Proliferation	TOP2A	state
all_markers	Proliferation	UBE2C	state
all_markers	Proliferation	CENPF	state
all_markers	Proliferation	TYMS	state
all_markers	Proliferation	STMN1	state
all_markers	Platelet	PPBP	contaminant
all_markers	Platelet	PF4	contaminant
all_markers	Erythrocyte	HBA1	contaminant
all_markers	Erythrocyte	HBA2	contaminant
all_markers	Erythrocyte	HBB	contaminant
all_markers	Immunoglobulin	IGKC	contaminant
all_markers	Immunoglobulin	IGLC2	contaminant
all_markers	Immunoglobulin	IGHG1	contaminant
all_markers	Immunoglobulin	IGHM	contaminant
